Method: GET | URL: / | Time: 2026-06-09T04:50:21.561Z
Method: GET | URL: /api/users/1 | Time: 2026-06-09T04:53:15.461Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:15:38.992Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:16:24.530Z
Method: GET | URL: /api/users/1 | Time: 2026-06-09T05:16:59.698Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:17:02.544Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:23:07.212Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:23:33.348Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:24:16.221Z
Method: POST | URL: /api/auth/login | Time: 2026-06-09T05:26:53.911Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:27:11.022Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:30:03.010Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:30:30.428Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:36:04.729Z
Method: GET | URL: /api/users | Time: 2026-06-09T05:55:57.567Z
Method: POST | URL: /api/auth/login | Time: 2026-06-14T13:52:21.415Z
Method: GET | URL: /api/users | Time: 2026-06-14T13:59:05.221Z
Method: GET | URL: /api/users | Time: 2026-06-14T13:59:16.437Z
Method: GET | URL: /api/users | Time: 2026-06-14T14:01:18.372Z
